Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 42.21     10.54    10.54                             dft64
 32.37     18.62     8.08                             dft512
 24.32     24.69     6.07                             dft256
  0.36     24.78     0.09                             slot_fep_ul
  0.32     24.86     0.08                             fep0
  0.16     24.90     0.04                             remove_7_5_kHz
  0.08     24.92     0.02                             generate_ul_ref_sigs
  0.08     24.94     0.02                             generate_ul_ref_sigs_rx
  0.06     24.95     0.02                             dump_frame_parms
  0.04     24.96     0.01                             init_prach_tables
  0.00     24.96     0.00   123840     0.00     0.00  std::complex<double>::complex(double, double)
  0.00     24.96     0.00    82560     0.00     0.00  std::complex<double>::imag[abi:cxx11]() const
  0.00     24.96     0.00    82560     0.00     0.00  std::complex<double>::real[abi:cxx11]() const
  0.00     24.96     0.00    82560     0.00     0.00  double std::imag<double>(std::complex<double> const&)
  0.00     24.96     0.00    82560     0.00     0.00  double std::real<double>(std::complex<double> const&)
  0.00     24.96     0.00    82560     0.00     0.00  std::complex<double> std::polar<double>(double const&, double const&)
  0.00     24.96     0.00    25212     0.00     0.00  __gnu_cxx::__normal_iterator<MessageDef_s* const*, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >::base() const
  0.00     24.96     0.00    25184     0.00     0.00  __gnu_cxx::__normal_iterator<MessageDef_s* const*, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >::__normal_iterator(MessageDef_s* const* const&)
  0.00     24.96     0.00    12590     0.00     0.00  std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::empty() const
  0.00     24.96     0.00    12589     0.00     0.00  std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::end() const
  0.00     24.96     0.00    12588     0.00     0.00  bool __gnu_cxx::operator==<MessageDef_s* const*, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >(__gnu_cxx::__normal_iterator<MessageDef_s* const*, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > > const&, __gnu_cxx::__normal_iterator<MessageDef_s* const*, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > > const&)
  0.00     24.96     0.00    12588     0.00     0.00  std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::begin() const
  0.00     24.96     0.00    12545     0.00     0.00  itti_poll_msg
  0.00     24.96     0.00       93     0.00     0.00  __gnu_cxx::__normal_iterator<MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >::__normal_iterator(MessageDef_s** const&)
  0.00     24.96     0.00       64     0.00     0.00  __gnu_cxx::__normal_iterator<MessageDef_s**, std::vector<MessageDef_s*, std::allocator<MessageDef_s*> > >::base() const
  0.00     24.96     0.00       58     0.00     0.00  std::vector<MessageDef_s*, std::allocator<MessageDef_s*> >::size() const
  0.00     24.96     0.00       50     0.00     0.00  std::_Vector_base<MessageDef_s*, std::allocator<MessageDef_s*> >::_M_get_Tp_allocator()
